advantages,company,data,degree,describe,experiences,high_salary,low_salary,num,place,position,task,type
"五险一金,周末双休",江苏东南智能系统科技有限公司 ,2018-05-02 13:05:17,不限,"岗位职责：1、负责.NET平台下软件产品开发任务；2、参与项目需求分析，完成系统中相关软件模块的编码、测试、维护等工作。任职要求：1、有两年以上.net开发经验，了解MVC开发模式；2、掌握sql、oracle数据库知识，有相关开发工作经验；3、做事认真，有责任心，有一定抗压能力，接触新技术能力强；,

,
,    江苏东南智能系统科技有限公司源于东南大学，成立于2003年，拥有一支由国内著名ITS专家领衔的智能交通专业队伍，核心技术人员具有交通工程、计算机等专业的硕士、博士学位。江苏东南智能是集智能交通软件研发、工程施工、维护为一体的综合性高科技企业，取得了智能交通领域发明专利2项，软件著作权数十项，是智能交通领域的核心骨干企业。,    江苏东南智能拥有“公路交通工程专业承包通信、监控、收费综合系统工程资质”、“安防工程企业一级资质”、“建筑智能化工程设计与施工二级资质”、“城市及道路照明工程三级资质“、“计算机信息系统集成三级资质”等。公司严格按照GB/T 19001-2000 / ISO 9001∶2008设计、开发、生产、安装和服务的模式，建立了严格的质量保证体系。,    江苏东南智能长期致力于不停车收费(ETC)系统的应用开发研究，公司研发的《一种长岛头式的电子不停车收费系统》获专利证书，《江苏省高速公路电子不停车收费（ETC）系统研究》获得中国公路学会科学技术进步奖一等奖，是交通运输部长三角高速公路联网不停车收费工程的主要集成商和软件提供商。公司先后承接国内700多条高速公路ETC车道、EMTC车道、普通公路开放式ETC车道的建设与维护。,    江苏东南智能多年来承接了国内数千公里高速公路、高等级公路、隧道、大桥的机电工程设计、施工和维护，专业涵盖通信、收费、监控、照明、供配电等多个方面。公司始终以“高质、高效、高服务”目标为客户提供智能交通专业化的建设方案，承建的工程质量优良率达100%，受到各方业主的高度好评。,    江苏东南智能以凭借创新提升高速公路现代化管理为目标，专注于交通行业软件应用系统核心技术的研发，公司已开发了高速公路办公自动化系统、桥梁养护信息管理系统、工程管理系统、营运综合管理系统、公共交通信息服务系统等具有自主产权的智能交通专业软件，并在国内交通系统推广使用。,放眼未来，江苏东南智能将继续秉承“为客户创造价值”的企业宗旨，求是务实、追求卓越、艰苦奋斗、开拓进取，不断提升企业的核心竞争力，奋力成为智能交通领域的领航者。,
",1-3年,8000,6001,2,南京,.net软件工程师,软件工程师,全职
"五险一金,年底双薪,绩效奖金,加班补助,全勤奖,带薪年假,员工旅游,节日福利",软世通信息科技集团有限公司 ,2018-03-10 20:39:46,大专,"岗位职责：,1、负责协助工程师运营支撑平台、运维自动化平台及其组件的设计和开发；,2、负责协助工程师优化、改进运维支持系统，并保证其安全高效稳定的运行；,3、参与运营平台、运维系统的需求分析、设计、编码；,,任职要求：,1、大专及以上学历，经验不限，接受2018届毕业实习生；,2、良好的沟通能力，处理服务端开发中的常见问题。,3、技术上有所追求，有一点钻研精神。,4、能过承担编程压力和学习压力，具备正面思维者优先.,,福利待遇：1、工作时间：周一至周五，9:00—18:00，休息日均按国家法定假日施行。2、享受国家规定的保险福利待遇（五险一金、带薪年假、各项补助等）；3、公司福利：餐费补贴、通讯补贴、电脑补贴、专业培训、节日福利等。4、公司有完善的岗前内训体系，给经验不足的员工提供前期的岗前培训。,,职业规划：1、技术型发展计划：软件开发工程师——领队/系统分析——系统架构设计——技术领导——首席技术官（CTO）2、管理型发展计划：软件开发工程师——领队/系统分析——项目经理/领域专家——高级项目经理——项目负责人,,,, ,,,

,
,南京软世通信息技术有限公司（以下简称：软世通科技），是一家专注于软件研发、软件外包、岗前实训等服务的高新技术企业。,一、公司服务宗旨,软世通科技倡导“一站式”定制服务，承诺以最短的时间，最快的速度为客户呈现高质量、易操作的软件，为客户提供优质服务、实用产品。为客户的持续发展打造最合身的业务系统，提供最有力的信息化支持。成立以来，承担了多项软件相关部委和行业委托的专项工程，在软件工程师培养、软件外包方面积累了丰富的经验。,软世通科技立志成为中国最领先的全方位IT服务及行业解决方案提供商,立足中国,服务大中华区和全球市场。业务范围涵盖咨询及解决方案、IT 服务及业务流程外包（BPO）服务等,是高科技、通信、银行/企业金融/保险、能源/交通/公用事业等行业重要的IT综合服务提供商和战略合作伙伴。在过去几年的发展中，软世通深刻理解客户需求,帮助数百家企业解决了IT困境,是企业盈利和成长的最佳合作伙伴。,二、经营理念,平台是生成软件的工具，思想才是软件的灵魂，软世通公司秉持“以人为本”的经营理念；,始终贯彻“以客户的追求为导向，不断提升自我”的信念；,我们相信，随心而动的平台服务，能让客户发展获得更好的信息化支撑，让流程化、数据化的业务管理变得更加人性化。,三、经营愿景,打造开放共赢平台，与合作伙伴共同成长，推动行业的健康发展；,关注不同地域、不同群体，并针对不同对象提供差异化的产品和服务；,注重企业责任，提升企业地位与品牌形象，赢得行业市场尊敬。,四、员工福利,1：富有竞争力的薪酬和其他福利津贴,2：健全的五险一金,3：给予完善的绩效考核，年终奖金及定期调薪,4：完善的培养体系和晋升机制,5：节日礼金或礼品、生日礼金及Party、人生重大时刻礼金及礼品等；?,6：带薪休假（年假，婚假，丧假，病假，培训假等）,7：丰富的业余集体活动（拓展，旅游，聚餐，年会等）,五、工作时间,1、常规工作时间：周一至周五，9_58_00-18_58_00，周末双休；,2、法定节假日正常休息；,3、连续工作满1年者享受5天带薪年假；,六、联系我们,面试地址：南京市科巷10号楼3楼301室,面试咨询电话：18551689282,简历接收邮箱：641441365@qq.com,
",不限,6000,3000,3,南京,Python后端开发助理/Python开发工程师学徒,互联网软件工程师,全职
"五险一金,绩效奖金,餐补,定期体检,员工旅游",京信通信系统(中国)有限公司 ,2018-04-23 08:51:02,大专,"工作职责：,1. 微波、卫星产品自动测试软件以及自动校准软件的需求分析、方案设计、可行性确认和软件编码设计、调试、维护；,2. 协助其他部门进行系统实施、维护、处理客户问题；,3. 整理技术资料、编写技术文档。,岗位要求：,1. 计算机、软件、电子、通信、自动控制相关专业本科及以上学历；,2. 专业知识：计算机原理、网络体系协议、编程语言、操作系统、数据结构与算法；,3. 熟练掌握Python语言，熟悉C/C++或者Matlab语言者优先；,4. 熟悉Qt编程开发环境者优先；,5. 理解计算机、通信相关基础知识，熟悉常用数据总线与接口协议（RS232，TCP/IP，HTTP）；,6.了解示波器、信号发生器、频谱仪、功率计、以太网分析仪等相关设备的功能和基本使用方法；,7. 有合作精神和良好沟通能力，为人正直诚恳、勤奋吃苦、有责任心、具有较强的学习能力。,,,

,
,　　京信通信成立于1997年，致力于为客户提供无线接入、无线优化及无线传输的通信设备及整体解决方案。集团于2003年在香港联交所主板上市（2342.HK），现有员工近万人。,　　公司拥有无线接入、无线优化、天线及子系统、无线传输四大产品线，在各产品领域均掌握了核心关键技术，拥有众多自主的知识产权。在广州经济技术开发区，公司建有全球生产基地，拥有面积超过8万平方米的通信设备制造厂房。,　　京信通信注重自主研发和技术创新，在广州科学城设有总部研发基地，在中国南京、美国弗吉尼亚及加利福尼亚分别设有研究所，拥有国内外专利1700余项。集团在承接国内或国际重大赛事通信服务方面经验丰富，为2014年巴西世界杯12场馆中8个提供一站式无线解决方案，为全球球迷提供最大容量及最优质的无线通信服务。,　　京信通信建立起覆盖全球的市场服务网络，全球业务蓬勃发展。先后在亚太、欧洲、北美、南美设立20余个海外分支机构，于全球80多个国家和地区开展产品销售和技术服务；在中国内地设有30余个分支机构。,　　展望未来，京信通信将继续专注于无线通信领域创新发展，力争成为世界无线接入、无线优化及传输领域的佼佼者，为客户贡献理想价值。, ,
",1-3年,10000,7000,1,南京,Python开发工程师,软件工程师,全职
"五险一金,年底双薪,绩效奖金,弹性工作,带薪年假,餐补,包住,节日福利",南京爬虫信息科技有限公司 ,2018-03-14 14:29:25,大专,"岗位描述：,1、参与开发和维护后端 Python 服务框架；2、参与开发和维护数据统计、分析系统。 ,,岗位要求：,1.大专及以上学历，应届生0经验可培养；,2. 良好的团队合作精神和沟通能力，有参与产品、技术交流的意识；,3. 了解数据结构和常见算法；,4.较强的学习沟通能力和团队协作精神，能够快速掌握新技术并拓展。,,福利待遇：底薪+奖金，五险一金，过节福利，员工生日礼品。,工作时间：朝九晚六，双休 法定节假日正常休息。,后期发展方向：软件开发实习生/学徒、初级程序员、中级程序员、高级程序员、项目主管、项目经理,

,
,   南京爬虫信息科技有限公司是国内较为领先的大型综合性软件与信息服务企业，面对当今互联网化，以及云计算、大数据的挑战，硅谷汇集团建立了线下与线上互动的业务结构。                 ,   南京爬虫信息科技有限公司同时也是国内较为领先的全方位IT服务及行业解决方案提供商。以软件技术为核心，通过软件与服务的结合，软件与制造的结合，技术与行业管理能力的结合，提供行业解决方案和产品工程解决方案以及相关产品与服务。面向行业客户，我们提供安全、可靠、高质量、易扩展的行业解决方案，帮助客户实现信息化管理最佳实践，以满足客户业务快速发展的不同需求，立足中国，服务大中华区和全球市场。业务范围涵盖咨询及解决方案、IT 服务及业务流程外包（BPO）服务,IT企业人才定制培养服务等，是高科技、通信、银行/企业金融/保险、能源/交通/公用事业等行业重要的IT综合服务提供商和战略合作伙伴。,    南京爬虫信息科技有限公司总部设在南京，国内在南京、合肥、苏州、无锡、淮安等城市设有项目研发和服务支持基地。,    南京爬虫信息科技有限公司的使命是用信息技术推动商业和社会进步，经营宗旨是做客户信赖的长期合作伙伴，研究院定位为中国、亚洲并开始扩展到全球企业与组织的管理、业务、协同工作信息化应用软件、基础技术软件、平台与应用服务、数据服务、金融服务、相关IT与专业服务提供商，发展目标是成为世界级管理软件与互联网服务、移动通信、 宽带网络提供商。在行业上，已经覆盖电信、政府、金融银行、高科技、电子商务、制造流通、公用事业、保险证券、移动应用、能源等主要行业；在能力上，硅谷汇以云产品、云服务、物联网以及大数据能力，服务于上百家跨国企业、银行、金融、国有大型企业客户；在IT实训上，校企合作以及学生实训基地已经遍布中国。依托“支持者”和“奋斗者”的双轮驱动，南京爬虫信息科技有限公司秉承“奋斗为本，成就客户，创造分享，共同成长”的核心价值观，服务于大企业、大行业，与合作伙伴、员工、股东一起聚愿同行，为成为世界级IT服务企业而奋斗！,,
",不限,6000,3000,3,南京,python开发工程师助理 可实习,其他,全职
"五险一金,年底双薪,绩效奖金,年终分红,加班补助,全勤奖,员工旅游,节日福利",南京学码思软件科技有限公司 ,2018-02-06 14:23:33,大专,"岗位职责：,1、协助工程师对数据质量进行快速分析；,2、支持系统日常模块的开发和运维；,3、编写功能模块的详细设计文档；,,任职要求：,1、大专及以上学历，计算机相关专业优先；,2. 对计算机行业感兴趣,有志向在软件行业发展；,3.较强的学习沟通能力和团队协作精神，能够快速掌握新技术并拓展。,,福利待遇：,1、薪资=基本工资+项目提成+奖金；,2、提供住宿，餐补，房补，五险一金，双休；,3、公司将定期组织户外旅游，同事生日，节假日聚餐；,4、公司不对外招收管理人员，所有管理层均在员工中培养提拔。,,发展空间：,程序员—初级软件开发工程师—中级软件开发工程师—高级软件开发工程师—项目经理—技术架构师,,直接来电咨询电话：18551689282 王经理,在线QQ/微信咨询（人力资源部）： QQ 641441365 ,,

,
,
",不限,6000,3000,4,南京,可学徒 Python开发实习生/Python开发程序员,软件工程师,全职
"五险一金,绩效奖金,带薪年假,弹性工作,员工旅游,节日福利",南京瑞文轶科信息科技有限公司 ,2018-05-02 10:04:19,本科,"岗位职责：,,1. 负责公司商业大数据爬虫系统的设计、研发与管理维护； 2. 设计爬虫策略与算法,提升抓取效果； 3. 持续优化系统,提高系统的稳定性及性能； 4.处理海量结构化数据的挖掘，找寻数据间的内在关联，并在此基础上构建机器学习模型； 5.挖掘算法优化，数据分类及分布统计，为其他部门提供特定需求的数据； ,, ,任职要求：1、熟悉Linux系统，掌握Java 、Python、C++、shell等语言； 2、丰富的爬虫经验,能够解决反爬虫、网络异常等各种常见爬虫问题； 3、熟悉网络编程(TCP/HTTP 协议)，多线程、多进程相关知识，有分布式爬虫架构，数据挖掘经验；  4、熟悉MongoDB 、MySQL、Redis等；对数据库有较强的设计能力； 5、熟悉APP模拟及接口验签破解技术，了解APP用户授权访问机制，掌握Selenium，APP破解技术优先； 6、良好的编码风格及测试习惯； ,7、优秀的分析、解决问题能力,对处理未知的、挑战性问题充满激情； 8、具备较强的学习能力和责任心，良好的沟通能力，团队合作精神。,,,,公司亮点：,【1】有竞争力的薪资；,【2】办公环境好，环境优美；,【3】领导nice，年轻化团体，沟通融洽；,【4】公司行业前景好，晋升空间比较大；,【5】交通便利，距离地铁非常近，地铁四号线徐庄站；,,

,
,,  南京瑞文轶科信息科技有限公司是一家由南京大学校友创办的创新型科技公司，公司为跨境出口电商企业提供集专业软件系统、电商运营顾问、海外营销获客、数据挖掘服务结合的综合解决方案，是国内领先的一站式跨境出口电商全闭环解决方案提供商。  公司旗下易麦宝云服务产品于2016年6月上线，已获得跨境出口电商企业用户近5万，近20家上市企业客户。易麦宝CEO Bruce专业跨境电商课程海内外受众近20万（百度、优酷搜索“易麦宝 bruce”）。在国家的“一带一路”大战略下，跨境电商行业正保持高速发展。易麦宝也已于2017年获国内知名投资机构投资，进入高速发展期。  我们团队创业四年，依然保持创业状态与激情。  如果您想选择一份朝九晚五的工作，如果您想选择一份安安稳稳、不用挑战的工作，如果您是一位习惯传统办公室氛围的同学，那么对不起我们可能不太合适；  如果您想选择一个高速发展的朝阳行业，如果您想选择一个高速发展、富有朝气的团队，如果您想拼搏一番、不负光阴，那么易麦宝欢迎您！  欢迎有志于在销售市场、软件开发、产品运营、海外营销、跨境电商运营等领域发展的同学加入我们，共同助力中国企业跨境出海！  易麦宝云服务 助力中国制造跨境出海！,,
",3-5年,25000,15000,1,南京,高级python工程师,高级软件工程师,全职
"五险一金,绩效奖金,全勤奖,带薪年假,节日福利",中孚信息股份有限公司,2018-04-27 10:25:46,本科,"岗位职责：1、负责Django相关软件、后台服务程序开发；2、参与项目需求分析、业务逻辑流程设计、文档编写；3、协助对所开发的功能进行测试，协助产品部署。,岗位要求：1、熟悉Django开发，1年以上项目开发经验；2、熟悉至少一种主流Python框架；3、对web开发相关技能有一定掌握或了解优先；4、熟练使用mysql或pgsql数据库, 熟悉mongodb, redis等NoSQL数据库；5、具有一定运维经验，了解服务器架构、Web安全、数据库知识等；6、有良好的编程思想、编程规范和文档编写能力；7、有独立项目开发经验；8、责任心强，学习能力强；9、熟悉HTML、CSS、Javascript等前端技术优先考虑。,公司福利：1、公司提供优厚的薪资待遇，每年两次加薪机会，高额年终奖；2、国家法定节假日，带薪年假，传统节日福利，每月月度福利，公司不定期组织旅游、培训，定期健康查体；3、入职当月即缴纳五险一金, ,

,
, 中孚信息成立于2002年，注册资金8277.5万元，是专业从事信息安全技术与产品研发、销售并提供行业解决方案和安全服务的高新技术企业，现有员工550余人。2017年5月，公司在深圳证券交易所创业板成功上市，股票代码：300659。,　　公司通过了ISO 9001和CMMI三级认证，是经认定的国家火炬计划软件产业基地骨干企业、国家火炬计划重点高新技术企业，是国家商用密码产品定点生产和销售单位。公司拥有国家保密局颁发的国家涉密集成甲级资质证书，具有工信部颁发的信息系统集成资质，拥有山东省信息安全共性工程技术研究中心、山东省信息安全工程实验室、山东省企业技术中心、山东省软件工程技术中心等创新平台，也是山东省数据恢复与清除技术中心的承担单位。目前，公司共获得5项国家级企业资质和50余项国家级产品资质。,　　公司遵循“自主、可控”原则，研发了多种信息安全软、硬件产品，积淀了深厚的行业经验。在国内顶尖业界专家的支持下，由数名博士、高工领衔成立了专业的研发中心，重点围绕安全保密技术、商用密码技术、云安全技术和移动终端安全技术等领域，从芯片、嵌入式软件、中间件到应用软件和平台，成功突破了一系列技术难题，形成了全系列的安全产品和面向分级保护、等级保护等党政内网的行业应用解决方案。,　　公司先后承担了国家发改委信息安全专项、国家火炬计划、国家重点新产品、国家电子信息产业发展基金、国家保密科研项目，以及山东省自主创新项目、山东省第一批战略性新兴产业项目等40余项国家和省（部）级重点科研项目，拥有专利及软件著作权130余项，产品多次获得国家密码科学技术进步奖、省市科技进步奖等。,　　围绕不同领域客户需求，公司设立了多个专业营销服务团队，先后设立了北京中孚、南京中孚、深圳中孚、山东中孚等全资子公司，形成了覆盖全国的销售服务网络，用户遍及全国32个省（直辖市、自治区）和香港特别行政区的上万家党政机关、军队和企事业单位。,　　“至诚于中，业成于孚”，诚信是中孚发展的根本，是先进管理和经营理念的基石，公司将始终秉承“客户至上、品质至上、服务至上”的原则，以一流的产品和服务奉献给中国信息安全事业，实现“成为中国信息安全保密领域整体解决方案的领导厂商”的发展愿景。,
",1-3年,15000,8000,3,南京,Python开发工程师,软件工程师,全职
"健身俱乐部,周末双休,五险一金,节日福利,员工旅游,定期体检",江苏博智软件科技股份有限公司,2018-05-03 16:53:50,不限,"岗位职责：,1、参与安全运维审计系统、安全网关系统软件开发工作,2、参与工控主机卫士或安全检查工具研发工作,任职要求：,1、熟悉运维审计系统有运维堡垒机、应用代理模块开发经验优先,2、熟悉字符协议如ssh、telnet和图形协议RDP、VNC优先,3、熟悉单点登录流程和Usb key认证优先,4、熟悉安全网关系统或安全防护系统优先,5、熟练掌握linux/Windows下python或c的使用,6、熟悉windows关键机制、如系统服务、注册表、进程空间、文件系统,7、具有windows安全加固、风险评估、主机防护、病毒木马检测相关模块开发经验优先,8、熟悉工控机上位机软件及组态软件优先,,

,
,江苏博智软件科技有限公司总部设在南京，坐落在软件大道润和软件园园区，属国家高新技术企业和双软企业。博智主要专业从事信息安全领域，服务于军工、政府、金融，教育，国企。公司“安全御”产品线的系列产品连续多年进入国家和江苏省保密局政府采购推荐目录，服务于全国600多家政府、军工和企业用户。        博智是江苏省保密协会常务理事单位、南京市保密协会副会长单位，江苏省计算机安全专委会副主任委员单位、江苏省信息安全联盟成员单位。        博智十分重视人才队伍建设，目前拥有“江苏省双创人才”、“江苏省333高层次人才”、“南京321计划人才”组成的经营和技术骨干团队。为了更好的实现技术创新，公司聘请华东师范大学何积丰院士作为首席安全顾问，并聘请国家级信息安全专家——“中国反黑客第一人”许榕生研究员作为公司的首席科学家，带领技术团队进行信息安全领域技术攻关。        博智与多所重点大学和科研机构开展产学研合作，依托中科院高能所计算中心、中科院信息工程研究所国家信息安全重点实验室、北京邮电大学信息安全中心、华东师范大学软件学院和南京大学国家保密学院，力争共创国内一流的信息安全产品和解决方案的孵化基地。        博智知识产权体系完备，拥有数十项软件著作权和发明专利。公司多项产品和技术获得省市科技进步奖和金慧奖，并有多项产品获得省高新技术产品认定和省高价值发明专利认定。        凭借深厚的技术积累、持续的技术创新、先进的服务理念和专业的服务团队，博智立志成为国内一流的信息安全研发基地、产品供应商和技术支持与服务中心，成为中国信息安全领域的领军企业。, ,
",3-5年,15000,10000,2,南京,软件研发工程师(linux/Windows/python/c),软件研发工程师,全职
"五险一金,年底双薪,绩效奖金,餐补,高温补贴,员工旅游,节日福利,带薪年假",南京网博汇智信息技术服务有限公司 ,2018-04-23 13:54:33,大专,"岗位职责：1、协助工程师从事公司项目组项目研发工作；2、有较强的逻辑思维能力，良好的代码编写习惯；3、根据自身想法及创意开发新型项目；4、和团队一起对软件做出测评。任职资格：1、大专及以上学历，想往IT行业发展，年龄18~35岁；2、对计算机开发、软件编程行业感兴趣；3、能把握机遇，想法新颖，大胆；4、应届生由专人带领培训，可带薪实习。公司福利：1、工作时间早9-晚6，双休，法定假日休息，带薪年假；2、日常补贴（话费、工作餐、交通费补贴）;3、待遇：实习助理底薪3500起，转正4000起+项目奖金；4、每年享受国家规定的带薪年假、法定节假日等福利；5、外地员工可提供住宿。,

,
,
",不限,8000,6001,2,南京,高薪python工程师/助理,网络工程师,全职
"五险一金,绩效奖金,带薪年假,弹性工作",上海米么金融信息服务有限公司,2018-05-02 11:04:49,本科,"职位要求 ,1. 熟悉Java语言，熟悉IO,多线程,集合等基础框架； ,2. 有App后端Java开发经验，熟悉SpringMVC等开发框架和技术规范； ,3. 熟练掌握SQL语法，熟悉Mysql，拥有较好的数据库设计能力； ,4. 精通Python。 ,5. 具有独自开发爬虫的能力，熟悉各种反爬策略以及应对措施。 ,6. 了解网页抓取原理及技术。 ,7. 有如下有经验者优先：js, css, ajax, xpath, selenium, mongodb， redis， APP反编译,,其他要求  ,1. 有1年及以上的Python、Java开发经验； ,2. 工作踏实诚恳，认真负责，良好的沟通协作能力； ,3. 最好大学本科及以上，计算机相关专业学历。,,

,
,   上海米么金融信息服务有限公司，是一家专注于为年轻女性提供金 融服务的消费金融企业。成立于2014年6月，聚焦年轻女性生活 方式，深入剖析年轻女性的消费习惯，以解决其消费分期的需求。,    米么金服拥有海量的合作品牌和商户，搭建多元化、多领域的商户合作体系，与众多行业领先者建立合作关系。目前，旗下产品么么贷分期已与近千个品牌达成合作，覆盖线上线下逾千家商户。,,2015年3月获小米千万级A轮融资；,2015年7月 熊猫资本千万级Post A轮投资；,2016年5月 由曦域资本领投，顺为资本跟投近亿元人民币B轮投资。,2017年4月 由海尔资本、曦域资本、熊猫资本领投，顺位资本、光控众盈资本及TalkingData旗下大数据行业成长基金跟投,,阿里巴巴集团蚂蚁金服首批战略合作伙伴,中国平安集团陆金所人民公社平台首批入驻企业,银联商务首家消费金融战略合作伙伴,上海金融信息行业协会会员单位,上海市互联网金融行业协会会员单位,中国整形美容协会金融投资分会常务理事单位,,   南京米么研发中心，有一支平均年龄28岁的年轻IT团队，我们采用敏捷开发，小步快走，快速迭代，以适应产品的更新变化。好系统，IT造！微服务化系统150+，钱包系统，会员系统，征信系统，账务系统，资金方系统等等。这些系统好比零部件，组装成一辆睿智的汽车，不断突破创新。而您也将是一个重要的零部件，期待您的加入。, ,我们提供_58_ - 缴纳五险一金; ,- 双休八小时; - 开放式办公环境;,- 节假日发放精美礼品; - 带薪年假; - 年度Family Day; - 季度奖金; ,- 第十三薪; - 每日免费的无限量地提供员工休闲食品;  假如你是一位具备热爱和坚持的人, 我们已经准备好_58_借你一场东风,一起荣耀前行。 如果你具备了与团队一起砥砺前行的素质,请加入我们!  ,
",1-3年,20000,10000,1,南京,Python开发工程师（会Java）,Java开发工程师,全职
